Femur,Province,Sex,WesternMediterranean,GreekEast,SouthEastEurope,NorthWestEurope,Date,Italy
400.92,30,0,1,0,0,0,800,1
401.17,30,0,1,0,0,0,800,1
400.68,30,0,1,0,0,0,800,1
400.38,30,0,1,0,0,0,800,1
400.48,30,0,1,0,0,0,800,1
400.23,30,0,1,0,0,0,800,1
400.23,30,0,1,0,0,0,800,1
400.23,30,0,1,0,0,0,800,1
400.23,30,0,1,0,0,0,800,1
400.23,30,0,1,0,0,0,800,1
415.51,30,0,1,0,0,0,400,1
416.51,30,0,1,0,0,0,400,1
416.75,30,0,1,0,0,0,400,1
417.34,30,0,1,0,0,0,400,1
419.98,30,0,1,0,0,0,400,1
420.98,30,0,1,0,0,0,400,1
421.22,30,0,1,0,0,0,400,1
421.81,30,0,1,0,0,0,400,1
423.09,3,0,1,0,0,0,509,0
423.29,3,1,1,0,0,0,509,0
423.91,3,0,1,0,0,0,509,0
418.87,3,0,1,0,0,0,-200,0
419.06,3,0,1,0,0,0,-200,0
419.98,3,0,1,0,0,0,-200,0
424.49,3,0,1,0,0,0,-200,0
421.18,3,0,1,0,0,0,-200,0
422.80,3,0,1,0,0,0,-200,0
424.81,3,0,1,0,0,0,450,0
425.06,3,0,1,0,0,0,450,0
425.65,3,0,1,0,0,0,450,0
425.84,3,0,1,0,0,0,450,0
426.47,15,0,1,0,0,0,650,0
426.71,15,0,1,0,0,0,650,0
426.23,15,0,1,0,0,0,650,0
425.93,15,0,1,0,0,0,650,0
423.52,30,0,1,0,0,0,-300,1
423.05,30,0,1,0,0,0,-300,1
421.43,30,0,1,0,0,0,-300,1
421.62,30,0,1,0,0,0,-300,1
422.53,30,0,1,0,0,0,-300,1
427.04,30,0,1,0,0,0,-300,1
426.07,30,0,1,0,0,0,-300,1
425.61,30,0,1,0,0,0,-300,1
423.98,30,0,1,0,0,0,-300,1
424.17,30,0,1,0,0,0,-300,1
425.09,30,0,1,0,0,0,-300,1
429.60,30,0,1,0,0,0,-300,1
426.07,30,0,1,0,0,0,-300,1
425.61,30,0,1,0,0,0,-300,1
423.98,30,0,1,0,0,0,-300,1
424.17,30,0,1,0,0,0,-300,1
425.09,30,0,1,0,0,0,-300,1
429.60,30,0,1,0,0,0,-300,1
428.63,30,0,1,0,0,0,-300,1
428.16,30,0,1,0,0,0,-300,1
426.53,30,0,1,0,0,0,-300,1
426.73,30,0,1,0,0,0,-300,1
427.64,30,0,1,0,0,0,-300,1
432.15,30,0,1,0,0,0,-300,1
435.41,15,0,1,0,0,0,650,0
435.65,15,0,1,0,0,0,650,0
435.17,15,0,1,0,0,0,650,0
434.87,15,0,1,0,0,0,650,0
435.36,30,0,1,0,0,0,-300,1
435.36,30,0,1,0,0,0,-300,1
431.82,30,0,1,0,0,0,-300,1
431.35,30,0,1,0,0,0,-300,1
429.73,30,0,1,0,0,0,-300,1
429.92,30,0,1,0,0,0,-300,1
430.84,30,0,1,0,0,0,-300,1
435.34,30,0,1,0,0,0,-300,1
432.04,30,0,1,0,0,0,-300,1
433.65,30,0,1,0,0,0,-300,1
432.46,30,0,1,0,0,0,-300,1
431.99,30,0,1,0,0,0,-300,1
430.37,30,0,1,0,0,0,-300,1
430.56,30,0,1,0,0,0,-300,1
431.47,30,0,1,0,0,0,-300,1
435.98,30,0,1,0,0,0,-300,1
434.03,30,0,1,0,0,0,400,1
435.03,30,0,1,0,0,0,400,1
435.27,30,0,1,0,0,0,400,1
435.86,30,0,1,0,0,0,400,1
434.03,30,0,1,0,0,0,390,1
435.03,30,0,1,0,0,0,390,1
435.27,30,0,1,0,0,0,390,1
435.86,30,0,1,0,0,0,390,1
431.64,3,0,1,0,0,0,-200,0
431.84,3,0,1,0,0,0,-200,0
432.75,3,0,1,0,0,0,-200,0
437.26,3,0,1,0,0,0,-200,0
433.95,3,0,1,0,0,0,-200,0
435.57,3,0,1,0,0,0,-200,0
441.05,30,0,1,0,0,0,400,1
442.06,30,0,1,0,0,0,400,1
442.30,30,0,1,0,0,0,400,1
442.89,30,0,1,0,0,0,400,1
442.91,30,0,1,0,0,0,269,1
443.89,30,0,1,0,0,0,269,1
443.20,30,0,1,0,0,0,269,1
443.17,30,0,1,0,0,0,269,1
442.97,30,0,1,0,0,0,269,1
443.97,30,0,1,0,0,0,269,1
444.21,30,0,1,0,0,0,269,1
443.96,30,0,1,0,0,0,-300,1
443.49,30,0,1,0,0,0,-300,1
441.86,30,0,1,0,0,0,-300,1
442.05,30,0,1,0,0,0,-300,1
442.97,30,0,1,0,0,0,-300,1
447.48,30,0,1,0,0,0,-300,1
445.23,30,0,1,0,0,0,-300,1
444.76,30,0,1,0,0,0,-300,1
443.14,30,0,1,0,0,0,-300,1
443.33,30,0,1,0,0,0,-300,1
444.25,30,0,1,0,0,0,-300,1
448.76,30,0,1,0,0,0,-300,1
450.10,30,0,1,0,0,0,671,1
450.34,30,0,1,0,0,0,671,1
449.86,30,0,1,0,0,0,671,1
449.56,30,0,1,0,0,0,671,1
449.65,30,0,1,0,0,0,671,1
449.41,30,0,1,0,0,0,671,1
444.42,3,0,1,0,0,0,-200,0
444.61,3,0,1,0,0,0,-200,0
445.52,3,0,1,0,0,0,-200,0
450.03,3,0,1,0,0,0,-200,0
446.72,3,0,1,0,0,0,-200,0
448.34,3,0,1,0,0,0,-200,0
450.28,29,0,1,0,0,0,500,0
449.58,29,0,1,0,0,0,500,0
449.56,29,0,1,0,0,0,500,0
449.35,29,0,1,0,0,0,500,0
450.36,29,0,1,0,0,0,500,0
450.60,29,0,1,0,0,0,500,0
451.19,29,0,1,0,0,0,500,0
451.39,29,0,1,0,0,0,500,0
452.01,29,0,1,0,0,0,500,0
452.26,29,0,1,0,0,0,500,0
451.77,29,0,1,0,0,0,500,0
451.47,29,0,1,0,0,0,500,0
451.56,29,0,1,0,0,0,500,0
451.32,29,0,1,0,0,0,500,0
450.34,30,0,1,0,0,0,-300,1
449.87,30,0,1,0,0,0,-300,1
448.25,30,0,1,0,0,0,-300,1
448.44,30,0,1,0,0,0,-300,1
449.36,30,0,1,0,0,0,-300,1
453.86,30,0,1,0,0,0,-300,1
451.91,30,0,1,0,0,0,400,1
452.91,30,0,1,0,0,0,400,1
453.15,30,0,1,0,0,0,400,1
453.74,30,0,1,0,0,0,400,1
454.57,15,0,1,0,0,0,650,0
454.81,15,0,1,0,0,0,650,0
454.33,15,0,1,0,0,0,650,0
454.03,15,0,1,0,0,0,650,0
455.02,30,0,1,0,0,0,600,1
455.22,30,0,1,0,0,0,600,1
455.85,30,0,1,0,0,0,600,1
456.09,30,0,1,0,0,0,600,1
455.60,30,0,1,0,0,0,600,1
456.66,29,0,1,0,0,0,500,0
455.97,29,0,1,0,0,0,500,0
455.94,29,0,1,0,0,0,500,0
455.74,29,0,1,0,0,0,500,0
456.74,29,0,1,0,0,0,500,0
456.99,29,0,1,0,0,0,500,0
457.58,29,0,1,0,0,0,500,0
457.77,29,0,1,0,0,0,500,0
