shortid,europeanancestry1900,excolony,governancequality,logincome,logsettlermortality,loghjypl,basesample
AFG,0.0,1.0,,,4.540098190307620,,
AGO,8.0,1.0,5.363636493682860,7.7706451416015600,5.63478946685791,-3.411247730255130,1.0
ARE,0.0,1.0,7.181818008422850,9.804219245910650,,,
ARG,60.000003814697300,1.0,6.386363506317140,9.133459091186520,4.232656002044680,-0.8722738027572630,1.0
ARM,0.0,0.0,,7.6824822425842300,,,
AUS,98.0,1.0,9.318181991577150,9.897972106933590,2.1459312438964800,-0.17078833281993900,1.0
AUT,100.0,0.0,9.727272987365720,9.97487735748291,,-0.34389975666999800,
AZE,0.0,0.0,,7.3065314292907700,,,
BDI,0.0,1.0,,6.56526517868042,5.63478946685791,-3.5065579414367700,
BEL,100.0,0.0,9.681818008422850,9.992871284484860,,-0.17912663519382500,
BEN,0.0,1.0,,7.090076923370360,5.58544921875,-2.8302178382873500,
BFA,0.0,1.0,4.454545497894290,6.845880031585690,5.63478946685791,-3.540459394454960,1.0
BGD,0.0,1.0,5.136363506317140,6.877295970916750,4.26843786239624,-2.063568115234380,1.0
BGR,100.0,0.0,8.909090995788570,8.457443237304690,,,
BHR,0.0,1.0,8.0,9.685953140258790,,,
BHS,10.0,1.0,7.5,9.28544807434082,4.442651271820070,,1.0
BIH,100.0,0.0,,,,,
BLR,100.0,0.0,,8.340456008911130,,,
BLZ,20.0,1.0,,8.377931594848630,5.0955891609191900,,
BOL,30.000001907348600,1.0,5.636363506317140,7.926602363586430,4.2626800537109400,-1.9661128520965600,1.0
BRA,40.0,1.0,7.909090995788570,8.72745418548584,4.2626800537109400,-1.1425641775131200,1.0
BRB,20.0,1.0,,9.26672077178955,4.442651271820070,-0.9063403606414800,
BTN,0.0,1.0,,,,,
BWA,0.0,1.0,7.7272725105285600,8.855093002319340,,-2.3644604682922400,
CAF,0.0,1.0,,7.192934036254880,5.63478946685791,-3.411247730255130,
CAN,99.0,1.0,9.727272987365720,9.986449241638180,2.7788193225860600,-0.06081215664744380,1.0
CHE,100.0,0.0,10.0,10.120210647583000,,-0.13467489182949100,
CHL,50.0,1.0,7.818181991577150,9.336091995239260,4.232656002044680,-1.3356012105941800,1.0
CHN,0.0,0.0,7.7727274894714400,7.886081218719480,4.770684719085690,-2.813410758972170,
CIV,0.0,1.0,7.0,7.444248676300050,6.504288196563720,-2.3330442905426000,1.0
CMR,0.0,1.0,6.454545497894290,7.501081943511960,5.63478946685791,-2.577022075653080,1.0
COG,0.0,1.0,4.681818008422850,7.420578956604000,5.4806389808654800,-2.103734254837040,1.0
COL,20.0,1.0,7.318181991577150,8.809863090515140,4.2626800537109400,-1.3318061828613300,1.0
COM,5.0,1.0,,7.383989334106450,,-3.352407217025760,
CPV,5.0,1.0,,7.979339122772220,,-2.577022075653080,
CRI,20.0,1.0,7.045454502105710,8.794824600219730,4.357990264892580,-1.358679175376890,1.0
CZE,100.0,0.0,8.863636016845700,9.20432186126709,,-1.5558971166610700,
DEU,100.0,0.0,,9.935470581054690,,-0.20089292526245100,
DJI,0.0,1.0,,,3.25809645652771,,
DNK,100.0,0.0,9.727272987365720,10.005592346191400,,-0.3710636794567110,
DOM,25.0,1.0,6.181818008422850,8.364042282104490,4.867534637451170,-1.5798791646957400,1.0
DZA,13.0,1.0,6.5,8.389359474182130,4.359269618988040,-1.1147416830062900,1.0
ECU,30.000001907348600,1.0,6.545454502105710,8.470101356506350,4.2626800537109400,-1.439695119857790,1.0
EGY,0.0,1.0,6.7727274894714400,7.951559543609620,4.216562271118160,-1.6766465902328500,1.0
ERI,0.0,1.0,,6.620073318481450,,,
ESP,100.0,0.0,9.681818008422850,9.618468284606930,,-0.38272565603256200,
EST,100.0,0.0,,8.393895149230960,,,
ETH,0.0,1.0,5.7272725105285600,6.10924768447876,3.25809645652771,,1.0
FIN,100.0,0.0,9.727272987365720,9.826066017150880,,-0.3092462122440340,
FJI,,1.0,,8.301521301269530,2.4336133003234900,-1.2982834577560400,
FRA,100.0,0.0,9.727272987365720,9.963641166687010,1.0577902793884300,-0.20089292526245100,
GAB,0.0,1.0,7.818181991577150,8.907882690429690,5.63478946685791,-1.85150945186615,1.0
GBR,100.0,0.0,9.772727012634280,9.878170013427730,0.9360933303833010,-0.3188287913799290,
GEO,100.0,0.0,,7.371489524841310,,,
GHA,0.0,1.0,6.2727274894714400,7.365180015563970,6.504288196563720,-2.9565114974975600,1.0
GIN,0.0,1.0,6.545454502105710,7.489970684051510,6.18001651763916,-3.146555185317990,1.0
GMB,0.0,1.0,8.272727012634280,7.272398471832280,7.293017864227300,-3.0365543365478500,1.0
GNB,0.0,1.0,4.545454502105710,,5.103882789611820,-3.2441935539245600,
GRC,100.0,0.0,7.818181991577150,9.397649765014650,,-0.7571524977684020,
GTM,20.0,1.0,5.136363506317140,8.294049263000490,4.2626800537109400,-1.56064772605896,1.0
GUY,2.0,1.0,5.886363506317140,7.9047040939331100,3.4713451862335200,-2.2537949085235600,1.0
HKG,4.0,1.0,8.136363983154300,10.049750328064000,2.7013611793518100,-0.4975804388523100,1.0
HND,20.0,1.0,5.318181991577150,7.687080383300780,4.357990264892580,-2.0402209758758500,1.0
HRV,100.0,0.0,,8.418477058410650,,,
HTI,0.0,1.0,3.7272727489471400,7.146772384643560,4.867534637451170,-2.864703893661500,1.0
HUN,100.0,0.0,9.0,8.809863090515140,,-1.1809074878692600,
IDN,0.0,1.0,7.590909004211430,8.070905685424810,5.135798454284670,-2.207274913787840,1.0
IND,0.0,1.0,8.272727012634280,7.326000213623050,3.8842406272888200,-2.4534080028533900,1.0
IRL,,0.0,9.727272987365720,9.769384384155270,,-0.5499129891395570,
IRN,0.0,0.0,4.7727274894714400,8.605203628540040,,-1.2207800149917600,
IRQ,0.0,1.0,1.6363636255264300,,,,
ISL,100.0,0.0,9.727272987365720,9.943669319152830,,-0.31471070647239700,
ISR,0.0,1.0,8.545454978942870,9.784140586853030,,-0.41703176498413100,
ITA,100.0,0.0,9.454545021057130,9.897972106933590,,-0.18152189254760700,
JAM,1.899999976158140,1.0,7.090909004211430,8.188689231872560,4.867534637451170,-2.0402209758758500,1.0
JOR,0.0,1.0,6.7727274894714400,8.171881675720220,,-0.8770700097084050,
